file,emotion,text
./Data/Sentences/Ses01F_impro01_F000.wav,e0,"EXCUSE ME ."
./Data/Sentences/Ses01F_impro01_F001.wav,e0,"YEAH ."
./Data/Sentences/Ses01F_impro01_F002.wav,e0,"IS THERE A PROBLEM ."
./Data/Sentences/Ses01F_impro01_F005.wav,e0,"WELL WHAT'S  THE PROBLEM LET ME CHANGE IT ."
./Data/Sentences/Ses01F_impro01_F012.wav,e2,"THAT'S OUT OF CONTROL ."
./Data/Sentences/Ses01F_impro01_F014.wav,e0,"CLEARLY . YOU KNOW DO YOU HAVE LIKE A SUPERVISOR OR SOMETHING ."
./Data/Sentences/Ses01F_impro01_M011.wav,e2,"I  DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE . IT'S JUST A SIMPLE FORM I JUST NEED AN ID ."
./Data/Sentences/Ses01F_impro01_M013.wav,e2,"YEAH  DO YOU  WANT . TO SEE MY SUPERVISOR HUH YEAH DO YOU WANT TO SEE MY SUPERVISOR FINE I'LL BE RIGHT BACK ."
./Data/Sentences/Ses01F_impro02_F000.wav,e3,"DID YOU GET THE MAIL SO YOU SAW MY LETTER ."
./Data/Sentences/Ses01F_impro02_F001.wav,e3,"YEAH I KNOW ."
./Data/Sentences/Ses01F_impro02_F002.wav,e3,"I DON'T KNOW I . PUT IN THAT REQUEST TOO THEY DIDN'T ."
./Data/Sentences/Ses01F_impro02_F003.wav,e0,"I GUESS YOU KNOW EVERYBODY HAS TO MAKE . SACRIFICES ."
./Data/Sentences/Ses01F_impro02_F004.wav,e3,"THERE'S PEOPLE THAT HAVE GIVEN MORE THOUGH . YOU KNOW ."
./Data/Sentences/Ses01F_impro02_F005.wav,e3,"I KNOW ."
./Data/Sentences/Ses01F_impro02_F006.wav,e0,"THERE'S BABIES OVER THERE THOUGH  THAT NEED MOTHERS ."
./Data/Sentences/Ses01F_impro02_F008.wav,e3,"JUST YOU KNOW KICKING MYSELF ."
./Data/Sentences/Ses01F_impro02_F010.wav,e3,"THINGS JUST AREN'T WHAT THEY SEEM ."
./Data/Sentences/Ses01F_impro02_F012.wav,e3,"IF NOT ME THEN WHO ."
./Data/Sentences/Ses01F_impro02_F013.wav,e3,"YOU'LL VIDEOTAPE EVERYTHING YEAH ."
./Data/Sentences/Ses01F_impro02_F014.wav,e3,"MAYBE YOU . CAN . SEND IT TO ME LIKE . STREAM IT YEAH ."
./Data/Sentences/Ses01F_impro02_F015.wav,e3,"LAST MONTH YEAH ."
./Data/Sentences/Ses01F_impro02_F016.wav,e0,"I HAVE TO FIND SITTERS ."
./Data/Sentences/Ses01F_impro02_F017.wav,e3,"WE'VE GOT FRIENDS THAT'S WHY WE MOVED . HERE . HUH  BECAUSE THERE . IS A DAY CARE DOWN THE STREET ."
./Data/Sentences/Ses01F_impro02_F018.wav,e0,"AND YOUR MOTHER IS CLOSE BY ."
./Data/Sentences/Ses01F_impro02_F019.wav,e3,"I'LL SEND YOU LOTS OF LETTERS ."
./Data/Sentences/Ses01F_impro02_F020.wav,e3,"AND I WANT LOTS AND LOTS AND LOTS OF PICTURES ."
./Data/Sentences/Ses01F_impro02_M001.wav,e3,"I DON'T UNDERSTAND YOU'VE ALREADY DONE SO MUCH I DON'T KNOW WHY DO YOU HAVE TO GO BACK ."
./Data/Sentences/Ses01F_impro02_M005.wav,e3,"I DON'T KNOW HOW YOU CAN BE OKAY WITH THIS I DON'T KNOW WHY YOU'RE NOT . YOU'RE FINE WITH IT ."
./Data/Sentences/Ses01F_impro02_M009.wav,e3,"I JUST DON'T SEE WHY IT HAS TO BE YOU ."
./Data/Sentences/Ses01F_impro02_M010.wav,e3,"WHAT AM I GOING TO DO HUH ."
./Data/Sentences/Ses01F_impro02_M011.wav,e3,"YEAH ."
./Data/Sentences/Ses01F_impro02_M012.wav,e0,"DON'T YOU GUYS HAVE ACCESS TO COMPUTERS OVER THERE ."
./Data/Sentences/Ses01F_impro02_M013.wav,e3,"I JUST DON'T KNOW HOW I'M GOING TO DO IT WITHOUT YOU ."
./Data/Sentences/Ses01F_impro02_M014.wav,e3,"I CAN'T RAISE A BABY BY MYSELF . HOW ."
./Data/Sentences/Ses01F_impro02_M015.wav,e0,"I KNOW ."
./Data/Sentences/Ses01F_impro03_F000.wav,e1,"WELL . VEGAS WAS AWESOME ."
